,S&P 500 Index,SCHG,SCHV,Invesco Funds - Invesco Global Investment Grade Corporate Bond Fund,iShares Core Global Aggt Bd ETF USD Dist,PIMCO GIS Asia Strategic Interest Bond Fund,"JANUS HENDERSON US SHORT TERM BOND ""A2"" (USD) ACC",Neuberger Berman High Yield Bond,Bloomberg Global-Aggregate Total Return Index Value Unhedged USD,MSCI World Index,MSCI World Net Total Return USD Index,AQUMON MPF Composite Index,AQUMON MPF Bond Index,AQUMON MPF Mixed Index,AQUMON MPF DIS Index,AQUMON MPF Equity Index,AQUMON MPF Equity Global Index,AQUMON MPF Equity US Index,AQUMON MPF Equity Europe Index,AQUMON MPF Equity Asia Index,AQUMON MPF Equity Greatchina index
2019-11-14,2.023,112.27374,12.97,12.3514,5.26645,,17.49,16.82,507.5225,2265.29,6625.559,1.217945196,1.040248387,1.226827765,1.194943484,1.29193087,1.318709279,1.630844864,1.147630904,1.255283681,1.267903554
2019-11-15,2.0391,113.15557,12.97,12.3642,5.27158,,17.49,16.82,508.0055,2282.8,6677.306,1.221721611,1.040945996,1.231021855,1.198678596,1.297135066,1.328668074,1.642458027,1.153594087,1.25841398,1.268677643
2019-11-18,2.0386,113.29666,12.98,12.3618,5.28144,,17.5,16.82,509.0492,2285.76,6686.268,1.226430214,1.041426205,1.234750828,1.200182964,1.305620342,1.33049838,1.644692267,1.155729967,1.270097545,1.283099609
2019-11-19,2.0401,113.24963,12.97,12.3725,5.2841,,17.5,16.81,509.3162,2284.85,6683.839,1.231085727,1.041814365,1.237582803,1.200595621,1.315059127,1.331382113,1.645872918,1.156909851,1.283702857,1.300730568
2019-11-20,2.0302,112.77932,12.97,12.3934,5.28718,,17.51,16.79,509.6183,2274.92,6655.334,1.22699576,1.042182581,1.234537957,1.199804595,1.3069502,1.325749191,1.641340232,1.148547913,1.274719876,1.291493374
2019-11-21,2.0231,112.55593,12.97,12.3966,5.28431,,17.5,16.77,509.2571,2270.36,6642.486,1.219841863,1.041765281,1.228880786,1.197079097,1.293844608,1.321238606,1.636795792,1.145659525,1.257167519,1.271872902
2019-11-22,2.0273,112.73229,12.98,12.3909,5.27702,,17.5,16.8,508.5878,2273.89,6652.849,1.222324895,1.041641917,1.230961739,1.198731652,1.298432289,1.324687579,1.639487712,1.14915952,1.262347132,1.277753474
2019-11-25,2.0501,113.56708,13,12.3937,5.2761,,17.5,16.82,508.5148,2290.65,6702.292,1.229300086,1.041990544,1.237184891,1.20288182,1.310427388,1.334410723,1.653161331,1.158120012,1.275059036,1.292736059
2019-11-26,2.0538,113.77872,13.01,12.4201,5.28287,,17.51,16.84,509.1519,2294.78,6714.504,1.230330376,1.042664009,1.23872446,1.204560561,1.311072627,1.336489213,1.657118018,1.158861039,1.274970025,1.292272395
2019-11-27,2.0607,114.16672,13,12.4425,5.27743,,17.5,16.85,508.6233,2302.67,6738.016,1.232503094,1.042621371,1.24064052,1.205963799,1.31493381,1.340379721,1.663849426,1.160536563,1.278801791,1.295505444
